Protein.Accession.	GN	GN	Pr0B_0h1	ProB_0h2	Pr0B_1h1	Pr0B_1h2	Pr0B_4h1	Pr0B_4h2	Pr0B_16h1	Pr0B_16h2
sp|Q9ERZ0|HEMGN_MOUSE	Hemgn	Hemgn	76795.20111	82229.45747	82994.31692	81664.80019	69365.65029	72839.01488	45302.66811	42493.78728
sp|P29416|HEXA_MOUSE	Hexa	Hexa	263367.9199	298386.0389	281303.0306	286173.3299	265650.448	273855.5817	179241.0727	191267.2975
sp|P20060|HEXB_MOUSE	Hexb	Hexb	723566.6658	718720.6041	739470.7825	692655.445	711588.9193	721096.608	511533.1424	495951.9957
sp|Q3TRM8|HXK3_MOUSE	Hk3	Hk3	138763.2211	137649.4414	135555.9393	138227.9217	127674.2864	125431.9246	88838.11616	90036.26563
sp|Q8R1M0|HMCES_MOUSE	Hmces	Hmces	123583.0818	128871.9135	125341.389	126732.45	109139.7592	116354.0135	72111.21652	77455.06589
sp|Q9JL35|HMGN5_MOUSE	Hmgn5	Hmgn5	1915462.804	2385513.417	2011691.195	1861391.869	1878753.681	1739074.588	1500823.841	1479803.258
sp|P14901|HMOX1_MOUSE	Hmox1	Hmox1	176745.4059	165214.5419	174995.886	190251.4245	162037.5982	153044.8815	74696.71462	72018.99665
sp|Q921F4|HNRLL_MOUSE	Hnrnpll	Hnrnpll	59788.35305	51324.41222	53564.46111	57726.69063	46563.06126	52803.25371	37476.96257	38063.75182
sp|Q61646|HPT_MOUSE	Hp	Hp	71935.49738	77099.54576	77129.67546	78606.70247	72863.35221	78787.50562	59052.64133	61073.21065
sp|P50172|DHI1_MOUSE	Hsd11b1	Hsd11b1	370186.6749	382361.3622	355158.9682	331645.5035	307083.6914	321975.9445	229053.7505	201541.6239
sp|Q8R5F7|IFIH1_MOUSE	Ifih1	Ifih1	86621.51832	80300.18049	83219.03162	80893.51443	75241.46662	82791.34868	67212.36461	61087.65163
sp|Q6NWV3|IF122_MOUSE	Ift122	Ift122	42826.28605	47845.17296	43032.15947	41797.94722	42851.66646	44027.69696	36140.35106	37951.15414
sp|O35594|IFT81_MOUSE	Ift81	Ift81	15081.84252	15069.76271	15776.59645	13784.86722	13215.2536	13739.55664	10833.19549	10961.12495
tr|A0A075B6A3|A0A075B6A3_MOUSE	Igha	Igha	1254754.179	1318565.163	1218647.433	1246535.777	1278526.896	1147568.657	852032.9688	809092.083
tr|F6XWB2|F6XWB2_MOUSE	Igkv1-115	Igkv1-115	2716012.408	2746469.31	2906939.61	2427742.687	2401798.101	2447581.094	1605503.144	1618125.057
tr|A0A075B663|A0A075B663_MOUSE	Iglv1	Iglv1	3853897.925	3594969.325	3582052.869	3449769.502	3991559.898	3451933.784	2785572.143	3027692.86
sp|Q9QXV3|ING1_MOUSE	Ing1	Ing1	61433.61077	58053.87792	53033.35137	55119.00406	56701.40564	50504.76435	47156.50053	44659.28923
sp|Q3UQ44|IQGA2_MOUSE	Iqgap2	Iqgap2	1682666.12	1620799.406	1753525.476	1675240.912	1597266.531	1568538.706	1383668.661	1335298.384
tr|F7ANU5|F7ANU5_MOUSE	Irak1	Irak1	17184.49398	18066.15123	16284.65675	16497.77562	17789.74561	20039.24744	12714.36597	15177.89554
sp|Q9JL16|ISG20_MOUSE	Isg20	Isg20	45086.6194	43604.49308	48179.88702	49029.31245	41817.79813	42998.18372	38436.25727	37108.25757
sp|Q9QUM0|ITA2B_MOUSE	Itga2b	Itga2b	48043.25205	54027.78702	56656.22037	55758.03543	46441.77009	48121.48522	33662.88606	33585.93891
sp|Q3V0T4|ITAD_MOUSE	Itgad	Itgad	48657.23299	46487.79122	52463.33974	53189.03345	47736.49065	47570.49938	31444.5073	27319.13
sp|P24063|ITAL_MOUSE	Itgal	Itgal	857171.0144	878754.0879	903268.4859	929484.8018	861305.31	842028.1561	665227.7471	686821.9922
tr|D3Z627|D3Z627_MOUSE	Itgal	Itgal	1086678.076	1110313.06	1137073.569	1183337.785	1087158.161	1053640.7	852020.0233	870350.8547
sp|P05555|ITAM_MOUSE	Itgam	Itgam	95438.27786	98669.53777	102190.5107	102975.3083	97849.10741	100767.1931	78547.99448	78558.7449
tr|Q3U1U4|Q3U1U4_MOUSE	Itgam	Itgam	127759.333	121220.351	133591.6814	125647.8074	119295.773	126761.5614	108766.1743	100349.7815
sp|Q9QXH4|ITAX_MOUSE	Itgax	Itgax	28439.53153	26980.80345	28519.37786	27249.10586	24731.87502	22970.08413	22049.92304	20324.7006
sp|P11835|ITB2_MOUSE	Itgb2	Itgb2	2315398.268	2281061.953	2312793.021	2230819.057	2111378.21	2128061.524	1714893.853	1598300.37
sp|O54890|ITB3_MOUSE	Itgb3	Itgb3	88954.62335	101727.0092	92028.45003	104445.9155	76170.89569	84885.17959	43213.97226	44972.44063
sp|Q61704|ITIH3_MOUSE	Itih3	Itih3	57927.846	63564.18663	55325.13017	60929.67101	53231.84389	53314.00491	37310.73836	39524.349
sp|Q8BVL9|JKIP1_MOUSE	Jakmip1	Jakmip1	545523.22	521284.3166	528681.2808	513710.9499	506512.8449	477851.5094	429820.7124	429234.5646
sp|Q9JHD1|KAT2B_MOUSE	Kat2b	Kat2b	175192.2961	180689.9888	177187.185	182273.1736	160163.3456	165692.3179	135381.8583	139089.2756
tr|E9Q6T9|E9Q6T9_MOUSE	Kctd1	Kctd1	38215.92712	39947.10491	37277.20107	35813.8903	36100.43573	40027.29714	28720.68026	31412.20093
sp|Q5M956|KCTD1_MOUSE	Kctd1	Kctd1	33529.6899	36256.46754	33101.39918	31168.75114	32501.75205	36425.8286	25446.2713	28473.16742
sp|Q6WVG3|KCD12_MOUSE	Kctd12	Kctd12	477477.3459	489243.0259	494493.1601	484511.4183	470865.2436	472583.7412	338659.427	347708.9315
tr|Q8C7J6|Q8C7J6_MOUSE	Kctd12b	Kctd12b	491772.0958	508230.436	490031.8922	477258.5507	470134.8589	466938.2537	333311.3755	338628.1774
sp|Q8K0E1|KCD15_MOUSE	Kctd15	Kctd15	37123.70808	40628.5225	37118.359	37283.54679	40706.58714	39109.73743	30146.52309	31153.77869
sp|Q80U62|RUBIC_MOUSE	Kiaa0226	Kiaa0226	16634.69738	17894.46983	16525.51498	18402.13684	17814.8261	18328.56415	13384.24009	14194.61166
sp|P33174|KIF4_MOUSE	Kif4	Kif4	918855.7138	871622.4438	921719.4059	904596.5072	866852.6407	910521.1477	760697.6012	707284.0981
sp|Q9QWT9|KIFC1_MOUSE	Kifc1	Kifc1	555187.6845	537743.4942	545912.0891	524389.837	533381.3332	564510.6839	452394.3419	441647.6961
sp|Q91WN4|KMO_MOUSE	Kmo	Kmo	238266.6604	217678.1583	246314.3834	238824.3794	235449.8422	227597.3635	185864.0546	184736.7773
sp|Q9CXF0|KYNU_MOUSE	Kynu	Kynu	74965.45673	81333.64275	79261.57199	85590.09628	72830.61514	77924.94332	67606.86833	65730.56748
sp|Q8BLB7|LMBL3_MOUSE	L3mbtl3	L3mbtl3	92327.85121	92842.54822	107206.9218	109280.4815	94083.38389	96350.791	90546.41241	82453.84781
sp|Q9EP89|LACTB_MOUSE	Lactb	Lactb	481325.1991	447927.8552	489145.2444	452774.998	491096.757	490712.0047	405152.3997	385891.7486
sp|P11672|NGAL_MOUSE	Lcn2	Lcn2	874045.0467	864555.2694	889997.859	910274.3671	881377.2116	938308.0454	593660.488	651181.3701
sp|Q60787|LCP2_MOUSE	Lcp2	Lcp2	88941.18401	93484.68394	88518.79368	91677.96372	87494.76018	82766.92051	64134.42189	68023.29121
sp|P16045|LEG1_MOUSE	Lgals1	Lgals1	4462367.031	4352623.795	4677523.075	4283207.442	4366213.995	4352165.746	3605553.679	3644422.018
sp|Q07797|LG3BP_MOUSE	Lgals3bp	Lgals3bp	107352.1299	115010.302	111402.2874	111316.8034	111471.2885	102471.1932	81279.10525	77325.46909
sp|P48678|LMNA_MOUSE	Lmna	Lmna	4606636.846	4898479.799	4533743.119	4527524.445	4341540.646	4261045.718	3099086.516	2899076.032
sp|Q5S006|LRRK2_MOUSE	Lrrk2	Lrrk2	39450.58382	40549.80735	45811.65873	43308.00484	39046.10173	40397.23527	37547.96528	32605.06623
tr|A2A6J7|A2A6J7_MOUSE	Lsp1	Lsp1	389510.5098	461605.0558	434119.7972	457064.8313	412249.6948	449425.0145	297129.1309	342151.6312
sp|O88855|LT4R1_MOUSE	Ltb4r	Ltb4r	13148.4472	13459.30225	12108.31515	10371.4212	12987.51153	12503.60294	10218.29265	9710.535084
sp|P08071|TRFL_MOUSE	Ltf	Ltf	4574954.581	4848174.043	4619454.35	4768623.366	4406035.566	4693533.091	3033047.035	3127999.714
sp|O88188|LY86_MOUSE	Ly86	Ly86	19034.77004	19313.62405	17666.54313	19486.77462	19871.57454	20363.23129	14569.78442	14610.98378
sp|P08905|LYZ2_MOUSE	Lyz2	Lyz2	806792.949	831959.9534	862144.5912	755915.3762	813124.106	819380.3048	507855.4014	541797.8601
tr|Q52KG3|Q52KG3_MOUSE	Magee2	Magee2	28856.49588	27307.29064	29615.88258	31091.23513	26630.89418	26515.41908	22015.21663	24640.11946
tr|F6U238|F6U238_MOUSE	Maml2	Maml2	19489.43828	18348.17981	19871.44328	19517.40436	22185.8322	20759.17285	16809.48728	17444.49351
sp|P70218|M4K1_MOUSE	Map4k1	Map4k1	362407.1994	368632.5526	381206.4119	378631.9056	351620.0178	353367.2863	323022.356	299539.945
sp|Q9Z2D7|MBD4_MOUSE	Mbd4	Mbd4	88651.71559	80102.36178	91624.7858	88119.95208	72640.27782	81190.72348	60995.62472	56660.99908
sp|Q2KHI9|MCM9_MOUSE	Mcm9	Mcm9	146104.007	143124.4824	158292.8768	141198.0364	152281.1094	145392.7787	112467.3591	115691.0472
sp|P43430|MCPT8_MOUSE	Mcpt8	Mcpt8	214892.6421	203518.0321	208330.231	208306.117	216756.7822	210713.913	174545.8016	166074.4672
sp|Q5RJH2|MCTP2_MOUSE	Mctp2	Mctp2	342371.0403	322206.7763	360937.9864	352884.2756	332886.2719	319108.3358	282530.5306	282239.7065
sp|Q5PSV9|MDC1_MOUSE	Mdc1	Mdc1	408975.014	400819.1604	417348.8905	433231.9659	391391.625	383402.6784	357073.3234	333187.0609
tr|Q8C6B0|Q8C6B0_MOUSE	Mettl7a1	Mettl7a1	61640.04523	62905.23921	67718.60342	71847.93789	53567.38057	69105.28509	45836.33333	47802.32868
sp|Q9CQ86|MIEN1_MOUSE	Mien1	Mien1	207757.6579	201014.3973	199300.3005	195089.2435	185462.8006	186278.4943	165112.1132	169481.6143
tr|E9PVX6|E9PVX6_MOUSE	Mki67	Mki67	7230624.622	6890279.331	7383711.225	7336173.61	6781930.315	6964492.272	5287357.149	5285356.373
sp|Q9D2Y4|MLKL_MOUSE	Mlkl	Mlkl	130135.6446	130909.195	123317.3144	138713.8859	116913.2073	125859.3821	101441.5747	102874.3743
sp|O70138|MMP8_MOUSE	Mmp8	Mmp8	259761.7043	262926.837	265076.9575	253343.9392	261673.3635	264426.5603	213327.4335	209992.4175
sp|P41245|MMP9_MOUSE	Mmp9	Mmp9	448326.9251	472855.1552	453004.7619	470454.1042	446151.2047	436188.189	337024.8092	327478.8844
tr|G3UVV6|G3UVV6_MOUSE	Mmrn1	Mmrn1	45752.68214	48807.00452	49892.31357	51217.60352	39507.11179	43237.24381	29277.95505	27882.67237
sp|B2RPV6|MMRN1_MOUSE	Mmrn1	Mmrn1	41464.8755	43752.13293	44962.46778	45375.64436	36840.61334	39552.0601	27618.91147	25047.47579
sp|P11247|PERM_MOUSE	Mpo	Mpo	2227298.919	2195748.458	2242158.583	2214105.567	2060393.067	2210941.926	1410482.211	1351614.592
sp|Q61830|MRC1_MOUSE	Mrc1	Mrc1	266801.3424	261225.0112	268887.9914	266457.0797	235800.2987	227731.5104	170876.2303	162488.3738
sp|P09541|MYL4_MOUSE	Myl4	Myl4	493678.2739	466092.008	492768.4796	470575.9421	499916.7879	488538.2241	387951.4493	394945.6017
sp|Q6PDN3|MYLK_MOUSE	Mylk	Mylk	194951.5568	196866.507	188184.0619	195020.9003	190010.3843	181725.0277	146144.0603	149764.92
sp|Q9JMH9|MY18A_MOUSE	Myo18a	Myo18a	2820189.176	2965958.848	2882859.048	2988265.908	2819453.561	2822990.513	2301122.33	2283243.048
tr|K3W4L0|K3W4L0_MOUSE	Myo18a	Myo18a	2820189.176	2965958.848	2882859.048	2988265.908	2819453.561	2822990.513	2301122.33	2283243.048
sp|P70248|MYO1F_MOUSE	Myo1f	Myo1f	689640.6647	652623.3226	663931.6491	672415.2831	590546.1	628118.1664	455193.3892	435775.3905
tr|Q8CG29|Q8CG29_MOUSE	Myo1f	Myo1f	684281.0788	649535.2965	670475.5327	676298.3601	584696.8365	629665.798	454296.9235	442510.9439
sp|Q8BR90-2|CE051_MOUSE	NA	NA	60558.94073	62793.84309	68112.1669	59392.80544	59918.54538	61447.90015	50654.93997	52244.30314
sp|Q711T7|NADE_MOUSE	Nadsyn1	Nadsyn1	41300.28423	34954.93932	42390.03126	40576.11334	44006.48832	37617.92522	30934.51876	30171.80549
sp|Q9QWR8|NAGAB_MOUSE	Naga	Naga	103065.0726	102906.1964	101895.819	100821.4938	91594.31204	101088.4	52665.88683	55343.28616
sp|Q9QZ08|NAGK_MOUSE	Nagk	Nagk	190239.8227	193964.7266	183147.6825	178901.8474	176129.0469	183546.3297	161091.2335	141843.9547
sp|Q8BLF1|NCEH1_MOUSE	Nceh1	Nceh1	101740.975	101018.1969	97495.50805	93886.14622	95986.63559	102184.041	82312.95445	80436.33066
sp|Q09014|NCF1_MOUSE	Ncf1	Ncf1	408110.2019	398693.7378	389612.2492	403941.7332	371879.3542	406174.7637	341249.6333	319668.619
sp|Q9D0F1|NDC80_MOUSE	Ndc80	Ndc80	200532.2435	229723.5698	211779.4942	228061.7791	212399.3978	229516.4431	162529.1436	175561.0186
sp|Q8K203|NEIL3_MOUSE	Neil3	Neil3	291958.3688	261359.0988	286489.1428	282267.1317	268536.3753	285230.8097	237881.0692	219852.0364
tr|O08692|O08692_MOUSE	Ngp	Ngp	1514190.457	1453830.272	1555638.862	1547135.356	1401940.82	1517558.793	994383.8776	1006342.474
sp|Q3TL44|NLRX1_MOUSE	Nlrx1	Nlrx1	58582.78096	58587.90085	61757.11252	65790.84673	62028.30665	61334.03395	49024.00333	50793.6747
sp|Q9QY53|NPHP1_MOUSE	Nphp1	Nphp1	40539.87837	41062.82348	45893.95186	44718.11918	43468.7211	44198.69368	34249.80325	35887.61356
sp|Q9DCJ9|NPL_MOUSE	Npl	Npl	124566.2188	112781.6297	126119.2596	105093.753	109641.4943	120361.0106	77964.33826	73366.19327
sp|Q9JI75|NQO2_MOUSE	Nqo2	Nqo2	143947.8505	155810.9424	147942.2739	153274.1937	146739.8459	154608.0186	124087.791	118784.3462
sp|P06537|GCR_MOUSE	Nr3c1	Nr3c1	283992.5976	283425.6633	297246.344	289386.5591	285515.5489	281241.1923	242873.7121	238391.7262
sp|Q6P3D0|NUD16_MOUSE	Nudt16	Nudt16	652905.4144	595505.3072	596186.6025	584983.7404	617826.8438	566153.1251	503329.8137	514027.4755
sp|Q9ERH4|NUSAP_MOUSE	Nusap1	Nusap1	415429.9892	401964.0408	415418.8225	429220.4891	376668.0919	443562.8826	324419.0068	340350.3434
sp|P54369|OAZ1_MOUSE	Oaz1	Oaz1	25385.36969	29473.27586	26251.95892	22414.21961	17873.36359	15966.61227	11752.1832	12403.11136
sp|Q9D8H7|OMA1_MOUSE	Oma1	Oma1	33666.33888	34136.20739	34567.39918	34173.13229	32966.52134	31631.21253	26125.78797	24863.55866
sp|Q8K3K8|OPTN_MOUSE	Optn	Optn	42881.07164	39440.61753	40553.75152	40459.81744	45453.33528	42585.97648	34907.90583	37265.67729
tr|B9EJ86|B9EJ86_MOUSE	Osbpl8	Osbpl8	298041.1998	283313.9472	313672.8291	295810.6872	292971.329	287330.648	250569.5745	246160.0336
sp|Q9CQX0|OTUB2_MOUSE	Otub2	Otub2	159957.238	154947.794	162970.5978	164987.9952	165124.8517	155615.3014	130507.3207	130987.5383
sp|Q3UR32|P2RX3_MOUSE	P2rx3	P2rx3	71005.84807	60689.11196	60704.22707	61927.23921	70692.13385	77442.75358	47550.26926	33562.80888
sp|Q9JJX6|P2RX4_MOUSE	P2rx4	P2rx4	26356.53854	25949.22965	30781.13779	29454.34295	24341.54971	26507.1744	19658.75871	19329.12366
sp|Q08642|PADI2_MOUSE	Padi2	Padi2	348451.6933	369216.3946	340168.1142	371482.9111	337384.1212	335783.8621	268407.8053	272284.1654
sp|Q9Z183|PADI4_MOUSE	Padi4	Padi4	58741.5702	55844.32351	60496.25101	59524.5348	54980.45288	53197.36512	41330.40413	33885.27149
sp|Q9CQX4|PAF15_MOUSE	Paf	Paf	517419.3385	524684.007	579792.4374	501831.1987	404127.7181	413260.0904	372684.6465	359134.638
sp|P49586|PCY1A_MOUSE	Pcyt1a	Pcyt1a	428350.2159	428959.486	410075.2906	419754.859	444252.3863	420353.9953	354965.0924	341102.2723
sp|Q811Q9|PCY1B_MOUSE	Pcyt1b	Pcyt1b	449479.3714	446163.1697	408067.5571	409430.0906	443299.2789	393002.2972	333506.8828	343581.7139
tr|B1AWC9|B1AWC9_MOUSE	Pde4b	Pde4b	11840.86536	14141.21275	13152.19697	14610.01106	10430.67369	11293.49957	8816.42808	9017.251031
sp|Q8R1G6|PDLI2_MOUSE	Pdlim2	Pdlim2	33456.41008	29909.11123	30090.53965	29782.38334	30768.20821	31457.81812	24424.97051	26806.0391
sp|O88593|PGRP1_MOUSE	Pglyrp1	Pglyrp1	135964.0466	139348.0733	137990.1555	129947.9807	131825.6806	140660.0247	93132.27499	99131.85592
tr|B1AVN8|B1AVN8_MOUSE	Phactr2	Phactr2	32786.46455	34700.77083	34293.92423	33964.60086	34506.82558	29961.37036	25643.223	27304.95086
sp|Q9EQ32|BCAP_MOUSE	Pik3ap1	Pik3ap1	2201493.784	2294548.769	2193284.376	2199938.648	2144291.676	2123348.491	1780029.13	1803741.993
sp|Q3U6Q4|PI3R6_MOUSE	Pik3r6	Pik3r6	42927.64385	42409.71978	46272.67653	42720.36106	38632.31576	38259.91744	37160.04556	33600.95949
sp|P53657|KPYR_MOUSE	Pklr	Pklr	1072180.507	1062263.148	1138238.088	1017357.386	992102.9428	941699.4556	804888.3063	784919.992
sp|Q8VEB4|PAG15_MOUSE	Pla2g15	Pla2g15	54356.88642	53393.64686	55285.5438	51357.47986	56697.66771	56238.01099	43840.92902	43648.43267
sp|P47713|PA24A_MOUSE	Pla2g4a	Pla2g4a	109252.3525	110307.0091	114109.6487	107070.0169	100647.9854	98498.49154	79469.10742	77685.8977
sp|Q8VCI0|PLBL1_MOUSE	Plbd1	Plbd1	101821.3646	102437.2938	102679.5391	95204.77676	96125.5695	87646.36268	44930.3852	48961.10846
sp|A3KGF7|PLCB2_MOUSE	Plcb2	Plcb2	123690.8041	120365.6084	121002.8733	130621.4244	110776.091	110150.1978	93017.99871	85971.27906
sp|O35405|PLD3_MOUSE	Pld3	Pld3	1123451.42	1210977.576	1183001.695	1067035.763	1040329.197	1005898.99	657145.9871	648269.6067
sp|Q8BG07|PLD4_MOUSE	Pld4	Pld4	1640161.196	1620280.421	1546269.963	1548936.5	1473830.516	1527831.054	1074693.288	1024239.165
sp|Q8K124|PKHO2_MOUSE	Plekho2	Plekho2	135865.068	133169.9983	137713.7417	133108.8907	125088.4084	118549.0043	99292.44919	96391.92682
sp|Q60953|PML_MOUSE	Pml	Pml	817197.888	896241.074	837531.8446	917372.3188	848742.7734	886290.7987	661568.9274	735124.9491
sp|Q6BCL1|PRAM_MOUSE	Pram1	Pram1	23680.73731	24824.60221	25771.04574	24716.11499	22509.58877	22904.99091	16996.70617	19852.77033
sp|P99029|PRDX5_MOUSE	Prdx5	Prdx5	440089.0224	456539.515	442008.0104	475555.831	390281.8158	447272.1859	307842.6846	327810.6908
sp|Q61878|PRG2_MOUSE	Prg2	Prg2	923118.1021	1014184.739	1002419.212	878073.7	825844.7556	883912.6922	770305.1472	670200.4223
sp|Q9JL95|PRG3_MOUSE	Prg3	Prg3	23516.5866	22986.85064	22867.8728	26974.71768	20443.972	22110.4174	15407.7688	14698.66624
tr|Q80UR4|Q80UR4_MOUSE	Prss34	Prss34	2191339.462	2108759.182	2161854.249	2169436.698	2147201.197	2117601.131	1414917.652	1392029.582
sp|Q61096|PRTN3_MOUSE	Prtn3	Prtn3	76911.68983	77382.77418	76172.62536	75174.70443	73767.777	68368.31695	37443.87048	35164.80752
sp|P97814|PPIP1_MOUSE	Pstpip1	Pstpip1	210922.9479	223767.0038	202012.8024	204823.4384	199520.5926	201828.8379	158659.1215	157193.5678
sp|P22437|PGH1_MOUSE	Ptgs1	Ptgs1	102703.4479	96536.89738	100297.2601	97731.7585	97453.90869	103544.5669	68117.4265	70629.95809
sp|P29352|PTN22_MOUSE	Ptpn22	Ptpn22	51989.06721	44803.24603	52405.84177	56878.8068	54649.81266	56968.23624	41573.86797	38884.58524
sp|Q9EPB4|ASC_MOUSE	Pycard	Pycard	867043.674	949947.2117	941930.4677	930531.4593	905856.9959	857448.8344	670455.1356	741537.8203
sp|Q9ET01|PYGL_MOUSE	Pygl	Pygl	795532.1941	755562.702	807931.2903	808520.5459	711573.6292	718233.1418	507138.7612	517688.8571
sp|Q8BND5|QSOX1_MOUSE	Qsox1	Qsox1	39234.67529	38098.17711	34863.80544	39598.55953	33246.12346	33079.50395	30487.56863	30893.6155
sp|Q99P58|RB27B_MOUSE	Rab27b	Rab27b	359949.6475	354466.9983	351556.8306	371502.6175	321639.3157	346408.2491	248741.6584	241751.2293
sp|Q91YQ1|RAB7L_MOUSE	Rab29	Rab29	53925.72809	52619.69734	58572.44021	58003.18936	54073.17205	54378.93175	45331.55594	48128.62278
sp|Q9CZE3|RAB32_MOUSE	Rab32	Rab32	270637.5432	257420.0783	290729.4532	284579.8701	245416.6577	264308.1214	218656.847	211154.3862
sp|Q8CB87|RAB44_MOUSE	Rab44	Rab44	39969.87637	41979.639	45873.15424	47267.2575	41038.41866	39652.30082	33627.70752	26745.75001
sp|Q8C551|R51A1_MOUSE	Rad51ap1	Rad51ap1	187734.4124	180768.6346	166525.5452	171984.6212	175808.5136	182864.0066	141578.6609	142538.976
sp|Q924H5|RA51C_MOUSE	Rad51c	Rad51c	93683.10744	84676.27062	88190.8885	94039.37499	87889.81319	98584.55156	68989.80441	75562.68573
sp|Q8BMS9|RASF2_MOUSE	Rassf2	Rassf2	950440.8704	993356.2896	1000778.382	1013934.305	955411.8598	988314.2591	775857.9761	787366.9661
sp|P13405|RB_MOUSE	Rb1	Rb1	432498.1572	398487.8607	431727.2048	448273.6179	418150.3341	413074.103	360165.4307	356898.9472
sp|Q91WT8|RBM47_MOUSE	Rbm47	Rbm47	14843.28631	16380.03717	15176.13882	16513.49018	15299.75553	14323.79306	12799.61114	12364.76414
sp|Q9CR50|ZN363_MOUSE	Rchy1	Rchy1	90779.81955	92007.71894	101373.9517	97538.43472	89808.4685	84506.11849	84421.79944	77655.67507
sp|Q75NR7|RECQ4_MOUSE	Recql4	Recql4	59583.87166	59985.5862	62781.83385	62844.42035	58880.9007	56012.50618	49186.20477	53141.64917
tr|Q8K426|Q8K426_MOUSE	Retnlg	Retnlg	39621.05073	37117.57583	40044.71829	40392.49578	36857.12732	39920.72995	30562.829	30872.71005
sp|P48379|RFX2_MOUSE	Rfx2	Rfx2	125188.1933	130127.8342	133076.0349	137851.3089	125715.0999	124965.2574	110878.8812	106558.7287
sp|Q99PG4|RGS18_MOUSE	Rgs18	Rgs18	65072.19731	64743.68092	65295.73771	62055.15107	60808.29593	60512.93754	55887.41864	48442.65646
sp|Q05921|RN5A_MOUSE	Rnasel	Rnasel	204110.621	210786.8089	210736.8801	230474.5348	218612.394	212993.8236	178867.6897	182859.3689
sp|Q9CY62|RN181_MOUSE	Rnf181	Rnf181	5175027.29	4796841.935	5237865.234	4802477.786	5529078.369	5481500.354	3149606.905	3820307.431
tr|A2ADP5|A2ADP5_MOUSE	Rpgr	Rpgr	23289.61387	22353.71276	21652.55917	22097.60172	26314.74036	25438.25715	18977.46197	18953.22839
sp|Q9WUT3|KS6A2_MOUSE	Rps6ka2	Rps6ka2	799962.2801	759076.93	778967.8445	777205.1742	729598.5112	741280.184	645254.7674	634542.9004
tr|F8WHN7|F8WHN7_MOUSE	Runx2	Runx2	224478.5734	232369.6832	230769.2545	226516.7515	223863.7705	214616.4121	188927.059	181685.2242
sp|P14069|S10A6_MOUSE	S100a6	S100a6	151305.6054	145071.1855	170828.9902	157012.96	134435.1346	153232.3583	107305.2353	94850.57375
sp|P31725|S10A9_MOUSE	S100a9	S100a9	3813481.129	3898774.762	3870574.266	3875527.691	3766469.562	4136639.029	2650845.506	2868855.216
sp|Q69Z37|SAM9L_MOUSE	Samd9l	Samd9l	209225.8525	211084.5703	218434.197	219646.7961	207441.6312	206608.5024	169647.4724	172534.4143
sp|Q60710|SAMH1_MOUSE	Samhd1	Samhd1	987218.2095	1035375.655	967741.7245	973557.3624	941676.2641	912300.1318	749974.678	753353.4209
tr|F8WJE0|F8WJE0_MOUSE	Samhd1	Samhd1	982806.1364	1030577.929	961720.5692	967061.1013	944181.644	915348.3549	750321.0461	753616.298
sp|Q60604|ADSV_MOUSE	Scin	Scin	37523.54419	41144.17316	38340.64375	38566.28712	36622.19137	38347.95144	29598.97774	29512.09996
sp|Q80VG1|SCML4_MOUSE	Scml4	Scml4	11786.66533	12049.23414	11859.31581	12082.67684	12630.01717	10841.08649	9076.683143	6566.080217
sp|Q7M729|SCN4B_MOUSE	Scn4b	Scn4b	119572.3092	117648.6214	103411.6379	109871.1274	114721.8779	100769.2194	85854.1469	82124.28474
sp|P17563|SBP1_MOUSE	Selenbp1	Selenbp1	437352.7561	496028.3627	469023.4695	455685.7625	437762.9798	422105.8827	376018.4275	382468.0262
sp|Q5I2A0|SPA3G_MOUSE	Serpina3g	Serpina3g	699179.7569	702672.7083	609561.1919	608426.8941	645739.713	645835.769	524944.1159	482248.4347
tr|F8WIV2|F8WIV2_MOUSE	Serpinb6a	Serpinb6a	338124.5211	344008.1836	355873.1395	337304.998	295699.3425	291693.7462	132236.2159	131457.2787
tr|O08797|O08797_MOUSE	Serpinb9	Serpinb9	240688.4789	231228.5253	241003.7267	219313.1404	211038.184	219518.9347	186379.5155	173307.8383
sp|P32261|ANT3_MOUSE	Serpinc1	Serpinc1	1736601.964	1465575.987	1242581.009	1529933.208	1220027.046	1241611.883	868262.1991	760817.2915
sp|Q07235|GDN_MOUSE	Serpine2	Serpine2	75125.96932	69211.59874	69545.73541	73798.80628	59007.06703	70745.34784	42000.53138	34659.97636
sp|Q91VW3|SH3L3_MOUSE	Sh3bgrl3	Sh3bgrl3	3072633.365	2880099.653	3096636.734	2809082.315	2828194.403	2867967.888	2547378.365	2339149.306
sp|O89032|SPD2A_MOUSE	Sh3pxd2a	Sh3pxd2a	29553.65922	29684.32033	31537.27526	33302.4653	32434.57085	33664.99943	25252.6407	25157.64417
sp|Q9QXN0|SHRM3_MOUSE	Shroom3	Shroom3	177503.6604	203217.2522	237064.4043	170099.8815	174330.1722	153212.5032	116122.1047	102233.5402
sp|P70665|SIAE_MOUSE	Siae	Siae	26206.72384	26163.54899	25783.86197	24772.43321	24334.82973	20432.55843	15866.36794	16252.64314
sp|Q62230|SN_MOUSE	Siglec1	Siglec1	110334.7267	122027.8592	115649.9278	120051.4289	99836.26834	98073.97759	66381.87917	63974.77377
sp|Q3UND0|SKAP2_MOUSE	Skap2	Skap2	159490.9524	166076.2537	160569.5195	168201.8561	157102.0303	155767.8391	119763.2598	117997.6065
